img_number,spike position,spike time
3640,(12 12)to(14 14),-
3641,(12 12)to(14 14),-
3642,(12 12)to(14 14),-
3643,(12 12)to(14 14),-
3644,(12 12)to(14 14),-
3645,(12 12)to(14 14),-
3646,(12 12)to(14 14),5
3647,(12 12)to(14 14),-
3648,(12 12)to(14 14),-
3649,(12 12)to(14 14),-
3650,(12 12)to(14 14),5
3651,(12 12)to(14 14),-
3652,(12 12)to(14 14),-
3653,(12 12)to(14 14),-
3654,(12 12)to(14 14),-
3655,(12 12)to(14 14),-
3656,(12 12)to(14 14),5
3657,(12 12)to(14 14),-
3658,(12 12)to(14 14),-
3659,(12 12)to(14 14),-
3660,(12 12)to(14 14),-
3661,(12 12)to(14 14),-
3662,(12 12)to(14 14),-
3663,(12 12)to(14 14),-
3664,(12 12)to(14 14),-
3665,(12 12)to(14 14),-
3666,(12 12)to(14 14),-
3667,(12 12)to(14 14),-
3668,(12 12)to(14 14),-
3669,(12 12)to(14 14),-
3670,(12 12)to(14 14),-
3671,(12 12)to(14 14),-
3672,(12 12)to(14 14),-
3673,(12 12)to(14 14),-
3674,(12 12)to(14 14),-
3675,(12 12)to(14 14),-
3676,(12 12)to(14 14),-
3677,(12 12)to(14 14),-
3678,(12 12)to(14 14),-
3679,(12 12)to(14 14),-
3680,(12 12)to(14 14),-
3681,(12 12)to(14 14),-
3682,(12 12)to(14 14),-
3683,(12 12)to(14 14),-
3684,(12 12)to(14 14),-
3685,(12 12)to(14 14),-
3686,(12 12)to(14 14),-
3687,(12 12)to(14 14),-
3688,(12 12)to(14 14),-
3689,(12 12)to(14 14),-
3690,(12 12)to(14 14),-
3691,(12 12)to(14 14),-
3692,(12 12)to(14 14),-
3693,(12 12)to(14 14),-
3694,(12 12)to(14 14),-
3695,(12 12)to(14 14),-
3696,(12 12)to(14 14),-
3697,(12 12)to(14 14),-
3698,(12 12)to(14 14),-
3699,(12 12)to(14 14),6
3700,(12 12)to(14 14),-
3701,(12 12)to(14 14),-
3702,(12 12)to(14 14),5
3703,(12 12)to(14 14),-
3704,(12 12)to(14 14),-
3705,(12 12)to(14 14),-
3706,(12 12)to(14 14),-
3707,(12 12)to(14 14),-
3708,(12 12)to(14 14),-
3709,(12 12)to(14 14),-
3710,(12 12)to(14 14),-
3711,(12 12)to(14 14),-
3712,(12 12)to(14 14),6
3713,(12 12)to(14 14),-
3714,(12 12)to(14 14),-
3715,(12 12)to(14 14),-
3716,(12 12)to(14 14),-
3717,(12 12)to(14 14),-
3718,(12 12)to(14 14),-
3719,(12 12)to(14 14),-
3720,(12 12)to(14 14),-
3721,(12 12)to(14 14),-
3722,(12 12)to(14 14),-
3723,(12 12)to(14 14),-
3724,(12 12)to(14 14),-
3725,(12 12)to(14 14),-
3726,(12 12)to(14 14),-
3727,(12 12)to(14 14),-
3728,(12 12)to(14 14),-
3729,(12 12)to(14 14),5
3730,(12 12)to(14 14),-
3731,(12 12)to(14 14),-
3732,(12 12)to(14 14),6
3733,(12 12)to(14 14),6
3734,(12 12)to(14 14),-
3735,(12 12)to(14 14),-
3736,(12 12)to(14 14),-
3737,(12 12)to(14 14),-
3738,(12 12)to(14 14),-
3739,(12 12)to(14 14),-
3740,(12 12)to(14 14),-
3741,(12 12)to(14 14),5
3742,(12 12)to(14 14),-
3743,(12 12)to(14 14),5
3744,(12 12)to(14 14),-
3745,(12 12)to(14 14),-
3746,(12 12)to(14 14),-
3747,(12 12)to(14 14),-
3748,(12 12)to(14 14),-
3749,(12 12)to(14 14),-
3750,(12 12)to(14 14),-
3751,(12 12)to(14 14),-
3752,(12 12)to(14 14),5
3753,(12 12)to(14 14),-
3754,(12 12)to(14 14),-
3755,(12 12)to(14 14),-
3756,(12 12)to(14 14),-
3757,(12 12)to(14 14),-
3758,(12 12)to(14 14),-
3759,(12 12)to(14 14),-
3760,(12 12)to(14 14),6
3761,(12 12)to(14 14),-
3762,(12 12)to(14 14),-
3763,(12 12)to(14 14),-
3764,(12 12)to(14 14),-
3765,(12 12)to(14 14),-
3766,(12 12)to(14 14),-
3767,(12 12)to(14 14),6
3768,(12 12)to(14 14),5
3769,(12 12)to(14 14),-
3770,(12 12)to(14 14),-
3771,(12 12)to(14 14),-
3772,(12 12)to(14 14),-
3773,(12 12)to(14 14),-
3774,(12 12)to(14 14),-
3775,(12 12)to(14 14),-
3776,(12 12)to(14 14),-
3777,(12 12)to(14 14),-
3778,(12 12)to(14 14),4
3779,(12 12)to(14 14),-
3780,(12 12)to(14 14),-
3781,(12 12)to(14 14),-
3782,(12 12)to(14 14),-
3783,(12 12)to(14 14),-
3784,(12 12)to(14 14),-
3785,(12 12)to(14 14),-
3786,(12 12)to(14 14),-
3787,(12 12)to(14 14),5
3788,(12 12)to(14 14),-
3789,(12 12)to(14 14),-
3790,(12 12)to(14 14),-
3791,(12 12)to(14 14),-
3792,(12 12)to(14 14),-
3793,(12 12)to(14 14),-
3794,(12 12)to(14 14),-
3795,(12 12)to(14 14),-
3796,(12 12)to(14 14),-
3797,(12 12)to(14 14),6
3798,(12 12)to(14 14),-
3799,(12 12)to(14 14),-
3800,(12 12)to(14 14),-
3801,(12 12)to(14 14),-
3802,(12 12)to(14 14),-
3803,(12 12)to(14 14),-
3804,(12 12)to(14 14),-
3805,(12 12)to(14 14),-
3806,(12 12)to(14 14),-
3807,(12 12)to(14 14),-
3808,(12 12)to(14 14),-
3809,(12 12)to(14 14),-
3810,(12 12)to(14 14),-
3811,(12 12)to(14 14),-
3812,(12 12)to(14 14),-
3813,(12 12)to(14 14),-
3814,(12 12)to(14 14),-
3815,(12 12)to(14 14),6
3816,(12 12)to(14 14),-
3817,(12 12)to(14 14),6
3818,(12 12)to(14 14),-
3819,(12 12)to(14 14),-
3820,(12 12)to(14 14),6
3821,(12 12)to(14 14),-
3822,(12 12)to(14 14),-
3823,(12 12)to(14 14),-
3824,(12 12)to(14 14),-
3825,(12 12)to(14 14),-
3826,(12 12)to(14 14),-
3827,(12 12)to(14 14),-
3828,(12 12)to(14 14),-
3829,(12 12)to(14 14),-
3830,(12 12)to(14 14),-
3831,(12 12)to(14 14),-
3832,(12 12)to(14 14),5
3833,(12 12)to(14 14),-
3834,(12 12)to(14 14),-
3835,(12 12)to(14 14),5
3836,(12 12)to(14 14),-
3837,(12 12)to(14 14),5
3838,(12 12)to(14 14),-
3839,(12 12)to(14 14),6
3840,(12 12)to(14 14),-
3841,(12 12)to(14 14),5
3842,(12 12)to(14 14),-
3843,(12 12)to(14 14),6
3844,(12 12)to(14 14),-
3845,(12 12)to(14 14),-
3846,(12 12)to(14 14),-
3847,(12 12)to(14 14),-
3848,(12 12)to(14 14),-
3849,(12 12)to(14 14),-
3850,(12 12)to(14 14),6
3851,(12 12)to(14 14),-
3852,(12 12)to(14 14),-
3853,(12 12)to(14 14),-
3854,(12 12)to(14 14),-
3855,(12 12)to(14 14),-
3856,(12 12)to(14 14),-
3857,(12 12)to(14 14),-
3858,(12 12)to(14 14),-
3859,(12 12)to(14 14),-
3860,(12 12)to(14 14),-
3861,(12 12)to(14 14),6
3862,(12 12)to(14 14),-
3863,(12 12)to(14 14),-
3864,(12 12)to(14 14),-
3865,(12 12)to(14 14),-
3866,(12 12)to(14 14),-
3867,(12 12)to(14 14),-
3868,(12 12)to(14 14),-
3869,(12 12)to(14 14),-
3870,(12 12)to(14 14),-
3871,(12 12)to(14 14),-
3872,(12 12)to(14 14),-
3873,(12 12)to(14 14),-
3874,(12 12)to(14 14),-
3875,(12 12)to(14 14),-
3876,(12 12)to(14 14),4
3877,(12 12)to(14 14),-
3878,(12 12)to(14 14),-
3879,(12 12)to(14 14),4
3880,(12 12)to(14 14),6
3881,(12 12)to(14 14),-
3882,(12 12)to(14 14),-
3883,(12 12)to(14 14),-
3884,(12 12)to(14 14),-
3885,(12 12)to(14 14),-
3886,(12 12)to(14 14),-
3887,(12 12)to(14 14),-
3888,(12 12)to(14 14),-
3889,(12 12)to(14 14),-
3890,(12 12)to(14 14),5
3891,(12 12)to(14 14),-
3892,(12 12)to(14 14),-
3893,(12 12)to(14 14),-
3894,(12 12)to(14 14),-
3895,(12 12)to(14 14),-
3896,(12 12)to(14 14),-
3897,(12 12)to(14 14),-
3898,(12 12)to(14 14),-
3899,(12 12)to(14 14),-
3900,(12 12)to(14 14),-
3901,(12 12)to(14 14),-
3902,(12 12)to(14 14),-
3903,(12 12)to(14 14),6
3904,(12 12)to(14 14),4
3905,(12 12)to(14 14),6
3906,(12 12)to(14 14),-
3907,(12 12)to(14 14),-
3908,(12 12)to(14 14),-
3909,(12 12)to(14 14),-
3910,(12 12)to(14 14),-
3911,(12 12)to(14 14),-
3912,(12 12)to(14 14),-
3913,(12 12)to(14 14),5
3914,(12 12)to(14 14),-
3915,(12 12)to(14 14),-
3916,(12 12)to(14 14),6
3917,(12 12)to(14 14),-
3918,(12 12)to(14 14),-
3919,(12 12)to(14 14),-
3920,(12 12)to(14 14),-
3921,(12 12)to(14 14),-
3922,(12 12)to(14 14),5
3923,(12 12)to(14 14),-
3924,(12 12)to(14 14),-
3925,(12 12)to(14 14),-
3926,(12 12)to(14 14),-
3927,(12 12)to(14 14),6
3928,(12 12)to(14 14),-
3929,(12 12)to(14 14),-
3930,(12 12)to(14 14),-
3931,(12 12)to(14 14),-
3932,(12 12)to(14 14),-
3933,(12 12)to(14 14),-
3934,(12 12)to(14 14),-
3935,(12 12)to(14 14),-
3936,(12 12)to(14 14),-
3937,(12 12)to(14 14),-
3938,(12 12)to(14 14),-
3939,(12 12)to(14 14),-
3940,(12 12)to(14 14),-
3941,(12 12)to(14 14),-
3942,(12 12)to(14 14),-
3943,(12 12)to(14 14),6
3944,(12 12)to(14 14),-
3945,(12 12)to(14 14),-
3946,(12 12)to(14 14),-
3947,(12 12)to(14 14),6
3948,(12 12)to(14 14),-
3949,(12 12)to(14 14),-
3950,(12 12)to(14 14),-
3951,(12 12)to(14 14),-
3952,(12 12)to(14 14),6
3953,(12 12)to(14 14),-
3954,(12 12)to(14 14),-
3955,(12 12)to(14 14),-
3956,(12 12)to(14 14),-
3957,(12 12)to(14 14),-
3958,(12 12)to(14 14),5
3959,(12 12)to(14 14),-
3960,(12 12)to(14 14),-
3961,(12 12)to(14 14),-
3962,(12 12)to(14 14),-
3963,(12 12)to(14 14),-
3964,(12 12)to(14 14),-
3965,(12 12)to(14 14),-
3966,(12 12)to(14 14),5
3967,(12 12)to(14 14),-
3968,(12 12)to(14 14),5
3969,(12 12)to(14 14),-
3970,(12 12)to(14 14),-
3971,(12 12)to(14 14),-
3972,(12 12)to(14 14),-
3973,(12 12)to(14 14),-
3974,(12 12)to(14 14),-
3975,(12 12)to(14 14),-
3976,(12 12)to(14 14),-
3977,(12 12)to(14 14),6
3978,(12 12)to(14 14),-
3979,(12 12)to(14 14),-
3980,(12 12)to(14 14),6
3981,(12 12)to(14 14),-
3982,(12 12)to(14 14),5
3983,(12 12)to(14 14),-
3984,(12 12)to(14 14),4
3985,(12 12)to(14 14),-
3986,(12 12)to(14 14),-
3987,(12 12)to(14 14),-
3988,(12 12)to(14 14),-
3989,(12 12)to(14 14),-
3990,(12 12)to(14 14),-
3991,(12 12)to(14 14),-
3992,(12 12)to(14 14),-
3993,(12 12)to(14 14),5
3994,(12 12)to(14 14),-
3995,(12 12)to(14 14),-
3996,(12 12)to(14 14),5
3997,(12 12)to(14 14),-
3998,(12 12)to(14 14),5
3999,(12 12)to(14 14),-
4000,(12 12)to(14 14),-
4001,(12 12)to(14 14),-
4002,(12 12)to(14 14),6
4003,(12 12)to(14 14),-
4004,(12 12)to(14 14),-
4005,(12 12)to(14 14),-
4006,(12 12)to(14 14),-
4007,(12 12)to(14 14),-
4008,(12 12)to(14 14),-
4009,(12 12)to(14 14),-
4010,(12 12)to(14 14),-
4011,(12 12)to(14 14),-
4012,(12 12)to(14 14),-
4013,(12 12)to(14 14),5
4014,(12 12)to(14 14),-
4015,(12 12)to(14 14),-
4016,(12 12)to(14 14),-
4017,(12 12)to(14 14),-
4018,(12 12)to(14 14),-
4019,(12 12)to(14 14),-
4020,(12 12)to(14 14),5
4021,(12 12)to(14 14),-
4022,(12 12)to(14 14),-
4023,(12 12)to(14 14),-
4024,(12 12)to(14 14),-
4025,(12 12)to(14 14),-
4026,(12 12)to(14 14),-
4027,(12 12)to(14 14),-
4028,(12 12)to(14 14),-
4029,(12 12)to(14 14),-
4030,(12 12)to(14 14),-
4031,(12 12)to(14 14),-
4032,(12 12)to(14 14),-
4033,(12 12)to(14 14),-
4034,(12 12)to(14 14),-
4035,(12 12)to(14 14),-
4036,(12 12)to(14 14),-
4037,(12 12)to(14 14),-
4038,(12 12)to(14 14),-
4039,(12 12)to(14 14),6
4040,(12 12)to(14 14),-
4041,(12 12)to(14 14),-
4042,(12 12)to(14 14),-
4043,(12 12)to(14 14),-
4044,(12 12)to(14 14),6
4045,(12 12)to(14 14),-
4046,(12 12)to(14 14),4
4047,(12 12)to(14 14),5
4048,(12 12)to(14 14),5
4049,(12 12)to(14 14),6
4050,(12 12)to(14 14),5
4051,(12 12)to(14 14),-
4052,(12 12)to(14 14),-
4053,(12 12)to(14 14),-
4054,(12 12)to(14 14),-
4055,(12 12)to(14 14),-
4056,(12 12)to(14 14),-
4057,(12 12)to(14 14),-
4058,(12 12)to(14 14),-
4059,(12 12)to(14 14),-
4060,(12 12)to(14 14),-
4061,(12 12)to(14 14),-
4062,(12 12)to(14 14),-
4063,(12 12)to(14 14),-
4064,(12 12)to(14 14),-
4065,(12 12)to(14 14),-
4066,(12 12)to(14 14),-
4067,(12 12)to(14 14),4
4068,(12 12)to(14 14),-
4069,(12 12)to(14 14),-
4070,(12 12)to(14 14),-
4071,(12 12)to(14 14),-
4072,(12 12)to(14 14),-
4073,(12 12)to(14 14),-
4074,(12 12)to(14 14),-
4075,(12 12)to(14 14),5
4076,(12 12)to(14 14),-
4077,(12 12)to(14 14),6
4078,(12 12)to(14 14),-
4079,(12 12)to(14 14),-
4080,(12 12)to(14 14),-
4081,(12 12)to(14 14),-
4082,(12 12)to(14 14),-
4083,(12 12)to(14 14),-
4084,(12 12)to(14 14),6
4085,(12 12)to(14 14),-
4086,(12 12)to(14 14),-
4087,(12 12)to(14 14),-
4088,(12 12)to(14 14),-
4089,(12 12)to(14 14),-
4090,(12 12)to(14 14),-
4091,(12 12)to(14 14),-
4092,(12 12)to(14 14),5
4093,(12 12)to(14 14),-
4094,(12 12)to(14 14),6
4095,(12 12)to(14 14),-
4096,(12 12)to(14 14),-
4097,(12 12)to(14 14),-
4098,(12 12)to(14 14),-
4099,(12 12)to(14 14),-
4100,(12 12)to(14 14),-
4101,(12 12)to(14 14),6
4102,(12 12)to(14 14),-
4103,(12 12)to(14 14),-
4104,(12 12)to(14 14),-
4105,(12 12)to(14 14),5
4106,(12 12)to(14 14),-
4107,(12 12)to(14 14),-
4108,(12 12)to(14 14),-
4109,(12 12)to(14 14),-
4110,(12 12)to(14 14),-
4111,(12 12)to(14 14),-
4112,(12 12)to(14 14),-
4113,(12 12)to(14 14),-
4114,(12 12)to(14 14),-
4115,(12 12)to(14 14),-
4116,(12 12)to(14 14),6
4117,(12 12)to(14 14),-
4118,(12 12)to(14 14),-
4119,(12 12)to(14 14),5
4120,(12 12)to(14 14),-
4121,(12 12)to(14 14),-
4122,(12 12)to(14 14),-
4123,(12 12)to(14 14),6
4124,(12 12)to(14 14),-
4125,(12 12)to(14 14),-
4126,(12 12)to(14 14),-
4127,(12 12)to(14 14),5
4128,(12 12)to(14 14),-
4129,(12 12)to(14 14),-
4130,(12 12)to(14 14),5
4131,(12 12)to(14 14),-
4132,(12 12)to(14 14),-
4133,(12 12)to(14 14),-
4134,(12 12)to(14 14),-
4135,(12 12)to(14 14),6
4136,(12 12)to(14 14),-
4137,(12 12)to(14 14),-
4138,(12 12)to(14 14),-
4139,(12 12)to(14 14),-
4140,(12 12)to(14 14),-
4141,(12 12)to(14 14),-
4142,(12 12)to(14 14),-
4143,(12 12)to(14 14),-
4144,(12 12)to(14 14),6
4145,(12 12)to(14 14),6
4146,(12 12)to(14 14),5
4147,(12 12)to(14 14),-
4148,(12 12)to(14 14),-
4149,(12 12)to(14 14),-
4150,(12 12)to(14 14),5
4151,(12 12)to(14 14),-
4152,(12 12)to(14 14),-
4153,(12 12)to(14 14),-
4154,(12 12)to(14 14),-
4155,(12 12)to(14 14),-
4156,(12 12)to(14 14),-
4157,(12 12)to(14 14),-
4158,(12 12)to(14 14),-
4159,(12 12)to(14 14),-
4160,(12 12)to(14 14),5
4161,(12 12)to(14 14),-
4162,(12 12)to(14 14),-
4163,(12 12)to(14 14),-
4164,(12 12)to(14 14),-
4165,(12 12)to(14 14),5
4166,(12 12)to(14 14),-
4167,(12 12)to(14 14),-
4168,(12 12)to(14 14),-
4169,(12 12)to(14 14),-
4170,(12 12)to(14 14),-
4171,(12 12)to(14 14),-
4172,(12 12)to(14 14),-
4173,(12 12)to(14 14),-
4174,(12 12)to(14 14),-
4175,(12 12)to(14 14),-
4176,(12 12)to(14 14),6
4177,(12 12)to(14 14),-
4178,(12 12)to(14 14),-
4179,(12 12)to(14 14),-
4180,(12 12)to(14 14),-
4181,(12 12)to(14 14),5
4182,(12 12)to(14 14),-
4183,(12 12)to(14 14),-
4184,(12 12)to(14 14),-
4185,(12 12)to(14 14),-
4186,(12 12)to(14 14),-
4187,(12 12)to(14 14),-
4188,(12 12)to(14 14),-
4189,(12 12)to(14 14),-
4190,(12 12)to(14 14),6
4191,(12 12)to(14 14),-
4192,(12 12)to(14 14),-
4193,(12 12)to(14 14),-
4194,(12 12)to(14 14),-
4195,(12 12)to(14 14),6
4196,(12 12)to(14 14),-
4197,(12 12)to(14 14),-
4198,(12 12)to(14 14),-
4199,(12 12)to(14 14),-
4200,(12 12)to(14 14),-
4201,(12 12)to(14 14),5
4202,(12 12)to(14 14),-
4203,(12 12)to(14 14),5
4204,(12 12)to(14 14),-
4205,(12 12)to(14 14),-
4206,(12 12)to(14 14),-
4207,(12 12)to(14 14),-
4208,(12 12)to(14 14),5
4209,(12 12)to(14 14),-
4210,(12 12)to(14 14),-
4211,(12 12)to(14 14),-
4212,(12 12)to(14 14),-
4213,(12 12)to(14 14),-
4214,(12 12)to(14 14),-
4215,(12 12)to(14 14),-
4216,(12 12)to(14 14),-
4217,(12 12)to(14 14),-
4218,(12 12)to(14 14),5
4219,(12 12)to(14 14),-
4220,(12 12)to(14 14),-
4221,(12 12)to(14 14),-
4222,(12 12)to(14 14),5
4223,(12 12)to(14 14),-
4224,(12 12)to(14 14),-
4225,(12 12)to(14 14),5
4226,(12 12)to(14 14),-
4227,(12 12)to(14 14),-
4228,(12 12)to(14 14),-
4229,(12 12)to(14 14),-
4230,(12 12)to(14 14),-
4231,(12 12)to(14 14),-
4232,(12 12)to(14 14),-
4233,(12 12)to(14 14),-
4234,(12 12)to(14 14),-
4235,(12 12)to(14 14),-
4236,(12 12)to(14 14),-
4237,(12 12)to(14 14),-
4238,(12 12)to(14 14),-
4239,(12 12)to(14 14),-
4240,(12 12)to(14 14),-
4241,(12 12)to(14 14),-
4242,(12 12)to(14 14),-
4243,(12 12)to(14 14),-
4244,(12 12)to(14 14),5
4245,(12 12)to(14 14),-
4246,(12 12)to(14 14),-
4247,(12 12)to(14 14),6
4248,(12 12)to(14 14),-
4249,(12 12)to(14 14),-
4250,(12 12)to(14 14),-
4251,(12 12)to(14 14),-
4252,(12 12)to(14 14),-
4253,(12 12)to(14 14),-
4254,(12 12)to(14 14),-
4255,(12 12)to(14 14),-
4256,(12 12)to(14 14),-
4257,(12 12)to(14 14),-
4258,(12 12)to(14 14),-
4259,(12 12)to(14 14),-
4260,(12 12)to(14 14),-
4261,(12 12)to(14 14),-
4262,(12 12)to(14 14),-
4263,(12 12)to(14 14),-
4264,(12 12)to(14 14),-
4265,(12 12)to(14 14),-
4266,(12 12)to(14 14),-
4267,(12 12)to(14 14),-
4268,(12 12)to(14 14),-
4269,(12 12)to(14 14),-
4270,(12 12)to(14 14),-
4271,(12 12)to(14 14),-
4272,(12 12)to(14 14),-
4273,(12 12)to(14 14),-
4274,(12 12)to(14 14),6
4275,(12 12)to(14 14),-
4276,(12 12)to(14 14),6
4277,(12 12)to(14 14),-
4278,(12 12)to(14 14),-
4279,(12 12)to(14 14),-
4280,(12 12)to(14 14),-
4281,(12 12)to(14 14),-
4282,(12 12)to(14 14),-
4283,(12 12)to(14 14),6
4284,(12 12)to(14 14),-
4285,(12 12)to(14 14),-
4286,(12 12)to(14 14),-
4287,(12 12)to(14 14),-
4288,(12 12)to(14 14),5
4289,(12 12)to(14 14),-
4290,(12 12)to(14 14),-
4291,(12 12)to(14 14),-
4292,(12 12)to(14 14),-
4293,(12 12)to(14 14),-
4294,(12 12)to(14 14),-
4295,(12 12)to(14 14),6
4296,(12 12)to(14 14),-
4297,(12 12)to(14 14),-
4298,(12 12)to(14 14),-
4299,(12 12)to(14 14),6
4300,(12 12)to(14 14),5
4301,(12 12)to(14 14),-
4302,(12 12)to(14 14),-
4303,(12 12)to(14 14),-
4304,(12 12)to(14 14),-
4305,(12 12)to(14 14),-
4306,(12 12)to(14 14),-
4307,(12 12)to(14 14),-
4308,(12 12)to(14 14),-
4309,(12 12)to(14 14),6
4310,(12 12)to(14 14),-
4311,(12 12)to(14 14),-
4312,(12 12)to(14 14),5
4313,(12 12)to(14 14),6
4314,(12 12)to(14 14),-
4315,(12 12)to(14 14),-
4316,(12 12)to(14 14),-
4317,(12 12)to(14 14),-
4318,(12 12)to(14 14),5
4319,(12 12)to(14 14),-
4320,(12 12)to(14 14),-
4321,(12 12)to(14 14),-
4322,(12 12)to(14 14),-
4323,(12 12)to(14 14),-
4324,(12 12)to(14 14),5
4325,(12 12)to(14 14),6
4326,(12 12)to(14 14),-
4327,(12 12)to(14 14),-
4328,(12 12)to(14 14),-
4329,(12 12)to(14 14),-
4330,(12 12)to(14 14),-
4331,(12 12)to(14 14),-
4332,(12 12)to(14 14),-
4333,(12 12)to(14 14),-
4334,(12 12)to(14 14),5
4335,(12 12)to(14 14),-
4336,(12 12)to(14 14),-
4337,(12 12)to(14 14),-
4338,(12 12)to(14 14),-
4339,(12 12)to(14 14),-
4340,(12 12)to(14 14),-
4341,(12 12)to(14 14),-
4342,(12 12)to(14 14),-
4343,(12 12)to(14 14),-
4344,(12 12)to(14 14),-
4345,(12 12)to(14 14),5
4346,(12 12)to(14 14),-
4347,(12 12)to(14 14),-
4348,(12 12)to(14 14),6
4349,(12 12)to(14 14),-
4350,(12 12)to(14 14),-
4351,(12 12)to(14 14),-
4352,(12 12)to(14 14),-
4353,(12 12)to(14 14),-
4354,(12 12)to(14 14),-
4355,(12 12)to(14 14),-
4356,(12 12)to(14 14),-
4357,(12 12)to(14 14),-
4358,(12 12)to(14 14),-
4359,(12 12)to(14 14),-
4360,(12 12)to(14 14),-
4361,(12 12)to(14 14),-
4362,(12 12)to(14 14),-
4363,(12 12)to(14 14),-
4364,(12 12)to(14 14),6
4365,(12 12)to(14 14),-
4366,(12 12)to(14 14),-
4367,(12 12)to(14 14),-
4368,(12 12)to(14 14),6
4369,(12 12)to(14 14),-
4370,(12 12)to(14 14),-
4371,(12 12)to(14 14),-
4372,(12 12)to(14 14),-
4373,(12 12)to(14 14),6
4374,(12 12)to(14 14),-
4375,(12 12)to(14 14),-
4376,(12 12)to(14 14),6
4377,(12 12)to(14 14),-
4378,(12 12)to(14 14),-
4379,(12 12)to(14 14),-
4380,(12 12)to(14 14),6
4381,(12 12)to(14 14),-
4382,(12 12)to(14 14),4
4383,(12 12)to(14 14),6
4384,(12 12)to(14 14),6
4385,(12 12)to(14 14),-
4386,(12 12)to(14 14),-
4387,(12 12)to(14 14),-
4388,(12 12)to(14 14),-
4389,(12 12)to(14 14),-
4390,(12 12)to(14 14),-
4391,(12 12)to(14 14),-
4392,(12 12)to(14 14),-
4393,(12 12)to(14 14),-
4394,(12 12)to(14 14),5
4395,(12 12)to(14 14),-
4396,(12 12)to(14 14),-
4397,(12 12)to(14 14),-
4398,(12 12)to(14 14),-
4399,(12 12)to(14 14),-
4400,(12 12)to(14 14),-
4401,(12 12)to(14 14),-
4402,(12 12)to(14 14),-
4403,(12 12)to(14 14),-
4404,(12 12)to(14 14),-
4405,(12 12)to(14 14),4
4406,(12 12)to(14 14),-
4407,(12 12)to(14 14),6
4408,(12 12)to(14 14),6
4409,(12 12)to(14 14),-
4410,(12 12)to(14 14),-
4411,(12 12)to(14 14),-
4412,(12 12)to(14 14),-
4413,(12 12)to(14 14),-
4414,(12 12)to(14 14),-
4415,(12 12)to(14 14),-
4416,(12 12)to(14 14),-
4417,(12 12)to(14 14),5
4418,(12 12)to(14 14),-
4419,(12 12)to(14 14),-
4420,(12 12)to(14 14),6
4421,(12 12)to(14 14),-
4422,(12 12)to(14 14),-
4423,(12 12)to(14 14),-
4424,(12 12)to(14 14),-
4425,(12 12)to(14 14),-
4426,(12 12)to(14 14),-
4427,(12 12)to(14 14),-
4428,(12 12)to(14 14),-
4429,(12 12)to(14 14),-
4430,(12 12)to(14 14),-
4431,(12 12)to(14 14),-
4432,(12 12)to(14 14),5
4433,(12 12)to(14 14),-
4434,(12 12)to(14 14),-
4435,(12 12)to(14 14),-
4436,(12 12)to(14 14),-
4437,(12 12)to(14 14),-
4438,(12 12)to(14 14),-
4439,(12 12)to(14 14),-
4440,(12 12)to(14 14),-
4441,(12 12)to(14 14),-
4442,(12 12)to(14 14),6
4443,(12 12)to(14 14),-
4444,(12 12)to(14 14),-
4445,(12 12)to(14 14),-
4446,(12 12)to(14 14),-
4447,(12 12)to(14 14),-
4448,(12 12)to(14 14),-
4449,(12 12)to(14 14),-
4450,(12 12)to(14 14),-
4451,(12 12)to(14 14),-
4452,(12 12)to(14 14),-
4453,(12 12)to(14 14),-
4454,(12 12)to(14 14),-
4455,(12 12)to(14 14),-
4456,(12 12)to(14 14),-
4457,(12 12)to(14 14),-
4458,(12 12)to(14 14),-
4459,(12 12)to(14 14),-
4460,(12 12)to(14 14),-
4461,(12 12)to(14 14),5
4462,(12 12)to(14 14),-
4463,(12 12)to(14 14),-
4464,(12 12)to(14 14),-
4465,(12 12)to(14 14),-
4466,(12 12)to(14 14),-
4467,(12 12)to(14 14),-
4468,(12 12)to(14 14),-
4469,(12 12)to(14 14),-
4470,(12 12)to(14 14),-
4471,(12 12)to(14 14),-
4472,(12 12)to(14 14),-
4473,(12 12)to(14 14),-
4474,(12 12)to(14 14),-
4475,(12 12)to(14 14),-
4476,(12 12)to(14 14),-
4477,(12 12)to(14 14),-
4478,(12 12)to(14 14),-
4479,(12 12)to(14 14),5
4480,(12 12)to(14 14),-
4481,(12 12)to(14 14),-
4482,(12 12)to(14 14),-
4483,(12 12)to(14 14),-
4484,(12 12)to(14 14),5
4485,(12 12)to(14 14),-
4486,(12 12)to(14 14),6
4487,(12 12)to(14 14),-
4488,(12 12)to(14 14),-
4489,(12 12)to(14 14),5
4490,(12 12)to(14 14),-
4491,(12 12)to(14 14),-
4492,(12 12)to(14 14),6
4493,(12 12)to(14 14),-
4494,(12 12)to(14 14),-
4495,(12 12)to(14 14),-
4496,(12 12)to(14 14),-
4497,(12 12)to(14 14),-
4498,(12 12)to(14 14),4
4499,(12 12)to(14 14),-
4500,(12 12)to(14 14),6
4501,(12 12)to(14 14),-
4502,(12 12)to(14 14),-
4503,(12 12)to(14 14),5
4504,(12 12)to(14 14),-
4505,(12 12)to(14 14),-
4506,(12 12)to(14 14),-
4507,(12 12)to(14 14),-
4508,(12 12)to(14 14),-
4509,(12 12)to(14 14),-
4510,(12 12)to(14 14),-
4511,(12 12)to(14 14),-
4512,(12 12)to(14 14),-
4513,(12 12)to(14 14),-
